title,author,avg_rating,num_rating
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.35,9682830
Pride and Prejudice,Jane Austen,4.29,4682657
To Kill a Mockingbird,Harper Lee,4.26,6742178
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,3720909
The Book Thief,Markus Zusak,4.39,2823344
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.67,7175273
Animal Farm,George Orwell,4.01,4411383
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,142266
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,698139
The Fault in Our Stars,John Green,4.12,5620339
The Picture of Dorian Gray,Oscar Wilde,4.13,1809485
Wuthering Heights,Emily Brontë,3.9,1977842
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,3364105
The Giving Tree,Shel Silverstein,4.38,1217169
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,3720909
Gone with the Wind,Margaret Mitchell,4.31,1248425
The Perks of Being a Wallflower,Stephen Chbosky,4.24,1963398
The Little Prince,Antoine de Saint-Exupéry,4.33,2403285
Jane Eyre,Charlotte Brontë,4.16,2277813
The Great Gatsby,F. Scott Fitzgerald,3.93,5782379
Crime and Punishment,Fyodor Dostoevsky,4.28,1040472
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,3.93,2489096
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,601126
"Divergent (Divergent, #1)",Veronica Roth,4.13,4313495
Memoirs of a Geisha,Arthur Golden,4.16,2090885
Les Misérables,Victor Hugo,4.21,834468
The Alchemist,Paulo Coelho,3.92,3470245
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.32,1089256
Lord of the Flies,William Golding,3.7,3140481
Romeo and Juliet,William Shakespeare,3.74,2783415
Brave New World,Aldous Huxley,3.99,2034857
